Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	Industry	Summary Quote
IBB	iShares Nasdaq Biotechnology Index Fund	106.89	7412821500	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/ibb
MIDD	The Middleby Corporation	133.08	7408797288.48	n/a	n/a	Technology	Industrial Machinery/Components	https://www.nasdaq.com/symbol/midd
NBIX	Neurocrine Biosciences, Inc.	80.83	7378721986.09	n/a	1996	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	https://www.nasdaq.com/symbol/nbix
CG	The Carlyle Group L.P.	21.69	7373105060.13	n/a	2012	Finance	Investment Managers	https://www.nasdaq.com/symbol/cg
POOL	Pool Corporation	184.26	7328514385.32	n/a	1995	Consumer Durables	Industrial Specialties	https://www.nasdaq.com/symbol/pool
FLIR	FLIR Systems, Inc.	53.39	7248283206.96	n/a	1993	Capital Goods	Industrial Machinery/Components	https://www.nasdaq.com/symbol/flir
VOD	Vodafone Group Plc	15.69	7002816860.37	446323573	n/a	Public Utilities	Telecommunications Equipment	https://www.nasdaq.com/symbol/vod
WIX	Wix.com Ltd.	139.76	6968802147.12	n/a	2013	Technology	Computer Software: Programming, Data Processing	https://www.nasdaq.com/symbol/wix
LAMR	Lamar Advertising Company	80.98	6929287651.22	n/a	1996	Consumer Services	Real Estate Investment Trusts	https://www.nasdaq.com/symbol/lamr
PODD	Insulet Corporation	116.06	6925908586.52	n/a	2007	Health Care	Medical/Dental Instruments	https://www.nasdaq.com/symbol/podd
ANGI	ANGI Homeservices Inc.	13.65	6914044996.95	n/a	n/a	Consumer Services	Advertising	https://www.nasdaq.com/symbol/angi
WWD	Woodward, Inc.	111.19	6906740084.02	n/a	n/a	Energy	Industrial Machinery/Components	https://www.nasdaq.com/symbol/wwd
HDS	HD Supply Holdings, Inc.	39.56	6758439063.64	n/a	2013	Consumer Services	Office Equipment/Supplies/Services	https://www.nasdaq.com/symbol/hds
COLM	Columbia Sportswear Company	98	6693521324	n/a	1998	Consumer Non-Durables	Apparel	https://www.nasdaq.com/symbol/colm
ESLT	Elbit Systems Ltd.	151.23	6678634836.69	n/a	n/a	Capital Goods	Military/Government/Technical	https://www.nasdaq.com/symbol/eslt
